Afghanistan,1,2
Albania,1,2
Algeria,1,2
Andorra,2,2
Angola,2,2
Antigua and Barbuda,3,2
Argentina,1,2
Armenia,1,2
Australia,1,2
Austria,1,2
Azerbaijan,2,2
Tajikistan,3,3
Thailand,1,3
The former Yugoslav Republic of Macedonia,3,3
Timor-Leste,3,3
Togo,2,3
Tonga,2,3
Trinidad and Tobago,2,3
Tunisa,1,3
Turkey,1,3
Turkmenistan,1,3
Tuvalu,3,3
Nile,1,4
Amazon,1,4
Yangtze,3,4
Mississippi,1,4
Yenisei,3,4
Yellow River,1,4
Ob,3,4
Rio de la Plata,2,4
Congo,2,4
Amur,2,4
Tokyo,1,5
Shanghai,1,5
Jakarta,2,5
Delhi,1,5
Seoul,1,5
Guangzhou,2,5
Beijing,1,5
Manila,1,5
Mumbai,1,5
New York,1,5
Shenzhen,1,5
Sao Paulo,1,5
Mexico City,1,5
Lagos,1,5
Kyoto,1,5
Cairo,1,5
Wuhan,3,5
Los Angeles,1,5
Dhaka,2,5
Chengdu,3,5
Moscow,1,5
Chongqing,3,5
Karachi,3,5
Bangkok,1,5
Tianjin,2,5
Istanbul,1,5
Kolkata,3,5
Tehran,2,5
London,1,5
Buenos Aires,1,5
Hangzhou,2,5
Rio de Janeiro,1,5
Xian,3,5
Paris,1,5
Changzhou,2,5
Kinshasa,3,5
Lahore,3,5
Shantou,3,5
Nanjing,2,5
Bangalore,1,5
Jinan,2,5
Chennai,2,5
Harbin,2,5
Bogota,3,5
Nagoya,3,5
Lima,1,5
