Christianity,1,17
Islam,1,17
Hinduism,2,17
Chinese people's religion,3,17
Buddhism,2,17
Arbeiderpartiet Ap eller A,1,18
Fremskrittspartiet Frp,1,18
Høyre H,1,18
Kristelig folkeparti KrF,3,18
Miljøpartiet De Grønne MDG,3,18
Rødt R,3,18
Senterpartiet Sp,2,18
Sosialistisk venstreparti SV,3,18
Venstre V,2,18
France,1,19
Belgium,2,19
slovenia,3,19
Macedonia,3,19
Montenegro,3,19
serbia,3,19
Netherlands,2,19
Switzerland,1,19
egypt,2,19
Russia,1,19
Tunisia,3,19
Norway,1,20
Sweden,1,20
Finland,2,20
Russia,3,20
Albanian,2,21
Armenian,3,21
aromunsk,3,21
Azerbaijani,3,21
Avaric,3,21
balkarsk,3,21
Bashkir,3,21
Basque,3,21
Bosnian,3,21
Breton,3,21
Bulgarian,2,21
Danish,1,21
Alsatian,3,21
Swedish,1,21
Finnish,1,21
French,1,21
Frisian,2,21
Albanian,3,21
Armenian,3,21
aromunsk,3,21
Azerbaijani,1,21
Avaric,3,21
balkarsk,2,21
Bashkir,3,21
Basque,1,21
Bosnian,3,21
Breton,3,21
Bulgarian,3,21
Danish,3,21
Alsatian,3,21
Swedish,3,21
Finnish,2,21
French,3,21
Frisian,3,21
Albanian,3,21
Armenian,2,21
aromunsk,3,21
Azerbaijani,3,21
Avaric,3,21
balkarsk,3,21
Bashkir,3,21
Basque,2,21
Bosnian,3,21
Breton,3,21
Bulgarian,1,21
Danish,2,21
Alsatian,2,21
Swedish,2,21
Finnish,2,21
French,2,21
Frisian,3,21
Albanian,1,21
Armenian,3,21
aromunsk,2,21
Azerbaijani,3,21
Avaric,3,21
balkarsk,3,21
Bashkir,2,21
Basque,3,21
Bosnian,2,21
Breton,3,21
Bulgarian,3,21
Belarus,2,22
moldova,3,22
Lithuania,1,22
Russia,1,22
romania,2,22
Ukraine,1,22
andorra,3,22
Hungary,2,22
Czech Republic,2,22
Slovakia,3,22
Portugal,2,22
